job_salary,job_name,job_overlook,job_tempt,job_location,job_descript,company_name,company_field,company_stage,company_size,company_website
15k-30k,研发工程师,"
                    15k-30k 
                    /北京 /
                    经验5-10年 /
                    本科及以上 /
                    全职
                ",独立性强,"北京 -
                    丰台区 -
                    太平桥
                                            - 北京市丰台区西局恒泰中心A座9层
                                                            查看地图","
        职位诱惑：
        独立性强
    
        职位描述：
        
        工作职责:1. 按需求进行软件设计和编码实现，确保安全、质量和性能；2. 能够完成日常code review并提供相关性能以及稳定性的建议;3. 在复杂环境上进行分布式系统/业务架构，满足业务和技术的快速发展;4. 优秀的团队合作精神，担当，勤奋，严谨并具备项目抗压力.任职资格:1. 精通JAVA语言及J2EE体系结构，熟悉jvm,io,多线程等；2. 精通OOA/D，能熟练使用UML；3. 熟悉Spring、Spring mvc、iBatis、spring cloud等开源框架4. 熟悉设计模式原则，熟练使用常用设计模式5. 熟练掌握SQL，熟悉数据库mysql和oracle6. 熟练掌握Linux下的常用命令，常用的脚本语言7. 对技术有强烈的兴趣，喜欢钻研，具有优秀的学习能力，沟通技能，团队合作能力；熟悉分布式架构、NoSQL，Hadoop，具备海量压力下的开发设计经验。8. 掌握一门脚本语言如python、nodejs加分。9.具有财产保险业务系统开发经验者优先。
        
    
                工作地址
        
                                                北京 -
                    丰台区 -
                    太平桥
                                            - 北京市丰台区西局恒泰中心A座9层
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        王翠
                                                                
                                        
                    
                    
                    
                    
                
                 HRBP 
                
                今日活跃
                            
                                                
    ",万联电商,"电商,金融",不需要融资,50-150人,http://www.cic.cn
15k-25k·13薪,java中级开发工程师,"
                    15k-25k·13薪 
                    /北京 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",十三薪，带薪年假，饭补，加班费，五险一金,"北京 -
                    昌平区
                                            - 科学园路21-1号
                                                            查看地图","
        职位诱惑：
        十三薪，带薪年假，饭补，加班费，五险一金
    
        职位描述：
        
        工作职责：
1.及时解决项目涉及到的技术问题；
2.根据开发规范、业务流程完成项目模块的设计、编码、测试以及编写相关文档
3.持续保证现有平台的安全、稳定、高性能。
岗位要求
1、要求全日制本科以上学历(学信网可查）；
2、良好的学习能力，扎实的 Java 基础，对集合类、并发、IO/NIO、泛型、异常、反射、JVM等有深入的了解；
3、熟悉J2EE相关技术，深入了解Spring、SpringMVC、SpringBoot等开源技术框架；
4、有对Oracle、DB2、mysql等数据库应用程序开发经验；
5、有在项目中使用redis、memcache等缓存技术的实践经验；
6、有Linux操作系统使用基础，可独立于其上完成应用部署；
7、良好的团队合作精神，心态积极，有极强责任心与团队荣誉感；
8、有微信及移动支付开发经验者优先。

希望简历尽量丰富一点，学校和技能经验写的详细一点咯。
公司福利：十三薪，带薪年假，节日福利，饭补，学历补贴，加班费，免费培训，五险一金以及补充医疗保险
        
    
                工作地址
        
                                                北京 -
                    昌平区
                                            - 科学园路21-1号
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        杨
                                                                
                                        
                    
                    
                    
                    
                
                 负责人 
                
                今日活跃
                            
                                                
    ",藜麦信息,"移动互联网,数据服务",不需要融资,50-150人,http://www.vipsdb.com
10k-20k,Java开发工程师,"
                    10k-20k 
                    /深圳 /
                    经验应届毕业生 /
                    本科及以上 /
                    全职
                ",房补餐补、年终奖金、旅游奖金、带薪假,"深圳 -
                    南山区
                                            - 龙珠四路方大城2号楼17F
                                                            查看地图","
        职位诱惑：
        房补餐补、年终奖金、旅游奖金、带薪假
    
        职位描述：
        
        【任务清单】
1、你是游戏平台功能开发和性能优化师，为游戏平台搭建一个技术堡垒；
2、你来主导软件系统的编码、测试，并撰写项目相关的技术文档；
3、项目经理是你工作上的小伙伴，跟他一起进行需求分析，参与新技术研发！

【角色属性】
1、本科及以上学历，计算机、软件工程等相关专业；
2、玩转Java，对JVM底层实现有一定了解；
3、曾经带着SSH/SPRING MVC/SPRING BOOT框架在项目实践疆土上驰骋；
4、JAVASCRIPT/CSS和HTML技术小小行家。
        
    
                工作地址
        
                                                深圳 -
                    南山区
                                            - 龙珠四路方大城2号楼17F
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        吉比特HR
                                                                
                                        
                    
                    
                    
                    
                
                 职位发布者 
                
                当前在线
                            
                                                
    ",吉比特,游戏,上市公司,500-2000人,http://www.g-bits.com
20k-40k·15薪,java,"
                    20k-40k·15薪 
                    /杭州 /
                    经验5-10年 /
                    本科及以上 /
                    全职
                ",发展前景 大牛,"杭州 -
                    拱墅区
                                            - 矩阵国际中心6栋307
                                                            查看地图","
        职位诱惑：
        发展前景 大牛
    
        职位描述：
        
        工作职责
1、负责电商产品核心业务功能与底层基础功能的功能设计和代码实现；
2、参与系统架构设计、接口规范制定、技术文档编写等；
3、优化系统性能，保证服务器质量和性能；
4、承担团队带教，帮助指导初中级开发工程师完成产品开发任务。

任职要求
1、本科及以上学历，计算机相关专业，有3年+相关工作经验；
2、Java基础扎实，熟练掌握数据结构、多线程编程、设计模式、JVM原理及调优等； 
3、熟悉J2EE体系结构，熟悉主流的SOA/微服务架构模式，对主流框架如SpringBoot/SpringCloud/Dubbo等有较深入的理解，熟悉分布式、缓存、消息、搜索等机制； 
4、喜欢钻研新技术，热衷分享。

        
    
                工作地址
        
                                                杭州 -
                    拱墅区
                                            - 矩阵国际中心6栋307
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        吴言扩
                                                                
                                        
                    
                    
                    
                    
                
                 高级职业顾问主管 
                
                当前在线
                            
                                                
    ",拉勾网,企业服务,"D轮及以上东方弘道(C轮,天使轮)，真格基金(天使轮)，前程无忧(D轮及以上)，启明创投，贝塔斯曼(B轮)，贝塔斯曼(A轮)",500-2000人,http://www.lagou.com
20k-40k·14薪,java开发工程师,"
                    20k-40k·14薪 
                    /北京 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",上市公司 头部企业,"北京 -
                    海淀区
                                            - 文思海辉大厦
                                                            查看地图","
        职位诱惑：
        上市公司 头部企业
    
        职位描述：
        
        岗位职责：
1、负责跟谁学用户增长和运营相关产品和系统的研发，包括自营流量、投放，学员管理、IM等相关产品；
2、与产品经理配合，参与产品需求的分析和产品方案的设计；
3、根据产品功能需求，设计合理的技术方案，并能高质量地落地；
4、负责项目中技术难点的攻克，解决核心的业务问题；

岗位要求：

1、3年以上工作经验，计算机及相关专业，统招本科；
2、精通 Java 及面向对象设计开发，理解IO、集合、多线程，对JVM有一定了解，熟悉常用数据结构和算法;
3、熟悉spring相关生态链，熟悉MySQL数据库，能够基于相关框架进行web开发；
4、具有很强的编码功底、具备良好的编程习惯和工程规范;
5、有强烈的上进心和求知欲，良好的团队合作精神，较强的沟通能力和学习能力；
        
    
                工作地址
        
                                                北京 -
                    海淀区
                                            - 文思海辉大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        郑
            
                        
                
                                        郑旭晓
                                                                
                                        
                    
                    
                    
                    
                
                 招聘主管 
                
                当前在线
                            
                                                
    ",跟谁学,"移动互联网,教育",上市公司,2000人以上,http://www.genshuixue.com
15k-30k,java开发工程师,"
                    15k-30k 
                    /深圳 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",上市公司、12%公积金、快速发展平台,"深圳 -
                    南山区
                                            - 龙珠四路方大城2号楼17F
                                                            查看地图","
        职位诱惑：
        上市公司、12%公积金、快速发展平台
    
        职位描述：
        
        岗位职责：
        1、参与公司产品的需求分析与架构设计；
        2、根据产品需求，完成功能模块的开发；
        3、负责产品代码的开发与维护，按计划完成开发工作；
        4、配合客户端工程师和测试工程师完成开发工作。

        岗位要求：
        1、本科及以上学历，3年以上JAVA开发经验，有大型互联网产品开发经验者优先；
        2、熟悉SpringMVC、SpringBoot，了解Java底层原理优先考虑；
        3、熟悉Java虚拟机调优，熟悉Java虚拟机内存管理原理，精通常用的缓存技术，如memcache、redis、mongo等；
        4、熟悉常用的设计模式，具备优秀的技术架构的设计能力，具有高并发高可用服务接口设计开发经验；
        5、具有较强的新知识学习能力和错误调试排错能力，能独立承担任务和有系统进度把控能力，热爱技术、做事追求完美的技术达人优先考虑。
        
    
                工作地址
        
                                                深圳 -
                    南山区
                                            - 龙珠四路方大城2号楼17F
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        吉比特HR
                                                                
                                        
                    
                    
                    
                    
                
                 职位发布者 
                
                当前在线
                            
                                                
    ",吉比特,游戏,上市公司,500-2000人,http://www.g-bits.com
15k-20k,java开发工程师,"
                    15k-20k 
                    /成都 /
                    经验5-10年 /
                    本科及以上 /
                    全职
                ",大团队 弹性工作 加班补贴,"成都 -
                    高新区
                                            - 银泰城17号楼7层
                                                            查看地图","
        职位诱惑：
        大团队 弹性工作 加班补贴
    
        职位描述：
        
        岗位职责
1、负责系统架构选型、框架搭建、核心代码实现。
2、根据项目需求，完成项目分析、设计、编码及文档编写等工作。
3、协助测试工程师编制测试计划，搭建测试环境及修改问题等工作。
任职要求
1.5年以上开发工作经验,3年以上架构设计经验;
2.有比较丰富的高并发、高可靠性应用的研发和设计经验
3.有分布式业务系统的设计与开发经验
4.扎实的编程基础,对备层常用开源的框架有深入的了解,对框架本身有过开发或重构者可优先考虑,有比较丰富的微服务架构应用设计、开发经验,熟悉 Spring Cloud Dubbo，SpringMVC、SpringBoot、Mybatis等主流框架
5.熟悉 Oracle、 My SQL,、 MongoDB、Reds等主流数据库的使用;
6.有主导过大型企业级应用架构设计的经验
7.有良好的技术团队和组织协调工作经验。
8.有良好的沟通和表达能力，具有较强的责任心及团队合作精神。
        
    
                工作地址
        
                                                成都 -
                    高新区
                                            - 银泰城17号楼7层
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        胥先生
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                当前在线
                            
                                                
    ",美呗,移动互联网,B轮获得数千万B+轮融资(B轮)，深创投领投完成B轮融资，公司迁至银泰城9号楼，向着做医美产业领导者的愿景稳步前进(B轮)，获得同创伟业、竞技世界融资，美呗官网与APP同年上线(A轮),500-2000人,http://www.lagou.com/gong...
11k-17k,java开发工程师,"
                    11k-17k 
                    /南京 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",此项目可以提升很大的技术方面,"南京 -
                    建邺区 -
                    
                                            - 白龙江东街26号百胜步步高大厦
                                                            查看地图","
        职位诱惑：
        此项目可以提升很大的技术方面
    
        职位描述：
        
        1.扎实的计算机专业基础，熟悉常用的数据结构与算法； 2.熟练使用Go语言或c/c++语言，并能在Linux环境进行开发； 3.熟悉C/C++经验者优先。 4.熟悉docker及k8s者优先。5.熟悉视频相关技术者优先。岗位职责：负责参与云平台ORTC平台开发和维护工作，支持软件工程远程协助、云游戏、视频直播等后端服务开发
        
    
                工作地址
        
                                                南京 -
                    建邺区 -
                    
                                            - 白龙江东街26号百胜步步高大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        蓝福沅
                                                                
                                        
                    
                    
                    
                    
                
                 招聘组长 
                
                当前在线
                            
                                            
                
                                    
    ",德科信息,"软件开发,物联网",不需要融资,2000人以上,https://www.lagou.com/gon...
12k-16k,java开发工程师,"
                    12k-16k 
                    /深圳 /
                    经验3-5年 /
                    大专及以上 /
                    全职
                ",上市公司 五险一金,"深圳 -
                    福田区 -
                    蛇口
                                            - 华融大厦
                                                            查看地图","
        职位诱惑：
        上市公司 五险一金
    
        职位描述：
        
        工作职责:

1、根据公司战略发展目标和业务发展需要，负责完成编码、代码检查及优化、BUG修改、开发自测等工作，确保公司各产品方案的实现和持续优化。

2、根据测试与运维的同事的问题反馈，进行线上问题排查与修复，确保公司产品的不断完善。

任职资格:

1、计算机或计算机相关专业，本科或以上学历；

2、具有实际项目开发经验，2年以上Java开发经验；

3、熟悉分布式项目开发，熟悉软件开发流程，对常见的web业务场景有一定的了解；

4、具备扎实的Java基础，掌握MVC分层架构思想及常用服务端开发框架；

5、熟悉Oracle，Mysql等常用关系型数据库，对SQL具有一定的调优意识与能力，熟悉Linux环境及常用命令；

6、熟练使用Maven等项目构建工具，熟悉Git、SVN等版本管理工具；

7、熟悉Redis等缓存中间件，熟悉常用消息队列（RabbitMQ、Kafka等）；

8、具有强烈的工作责任心和Deadline意识，良好的工作积极性和主动性以及沟通、组织、协调和表达能力。

9、有征信、银行业务或SpringCloud等相关框架开发经验优先；

10、能接受出差、驻场
        
    
                工作地址
        
                                                深圳 -
                    福田区 -
                    蛇口
                                            - 华融大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        崔小姐
                                                                
                                        
                    
                    
                    
                    
                
                 人事专员 
                
                刚刚活跃
                            
                                                
    ",东华,"企业服务,数据服务",上市公司,2000人以上,http://www.dhcc.com.cn
12k-18k,java开发工程师,"
                    12k-18k 
                    /武汉 /
                    经验3-5年 /
                    大专及以上 /
                    全职
                ",五险一金,"武汉 -
                    武昌区
                                            - 汉街总部国际d座
                                                            查看地图","
        职位诱惑：
        五险一金
    
        职位描述：
        
        技能要求：
SPRINGBOOT，SPRINGCLOUD，MySQL
1、5年以上java开发经验
2、精通spring boot、spring clound等框架
3、熟悉orcale、mysql数据库
4、熟练使用redis、rabbit mq等
        
    
                工作地址
        
                                                武汉 -
                    武昌区
                                            - 汉街总部国际d座
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        艾米
                                                                
                                        
                    
                    
                    
                    
                
                 人事专员 
                
                刚刚活跃
                            
                                                
    ",豪亿信息,"数据服务,软件开发",不需要融资,50-150人,http://www.strivenwinner.com
