,job_salary,job_name,job_overlook,job_tempt,job_location,job_descript,company_name,company_field,company_stage,company_size,company_website
0,8k-16k,python开发工程师,"
                    8k-16k 
                    /上海 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",同事非常nice 俊男美女 领导也很nice,"上海 -
                    徐汇区
                                            - 上中路495号汇达商务园A座718室
                                                            查看地图","
        职位诱惑：
        同事非常nice 俊男美女 领导也很nice
    
        职位描述：
        
        工作内容：

1、软件后端算法工作；

2、独立分析、评估并解决问题，能够在较短时间内寻求最优解决方案；







岗位要求：

1、3年以上开发经验，能够熟练使用python语言，基础扎实；

2、掌握基本算法逻辑如排序算法，寻路算法，排样算法等；

3、熟悉Linux，能进行基本的常用操作；

4、熟悉网络HTTP、TCP等网络协议，熟悉网络编程；

5、能熟练使用numpy和pandas，matplotlib等常用数据分析库；

6、至少掌握一种Web后端库的使用，如Django，Flask等；

7、能熟练使用正则表达式，熟悉json数据格式；

8、对C语言有一定了解，能独立完成一些小程序；

9、责任心强，自我驱动力强，具有良好的沟通和团队协作能力，主动，好学；

        
    
                工作地址
        
                                                上海 -
                    徐汇区
                                            - 上中路495号汇达商务园A座718室
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        高女士
                                                                
                                        
                    
                    
                    
                    
                
                 总助 
                
                今日活跃
                            
                                                
    ",上海江煦信息科技,"移动互联网,硬件",不需要融资,15-50人,http://www.shjx-tech.com/
1,20k-35k,python开发工程师,"
                    20k-35k 
                    /北京 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",六险一金，高薪期权，弹性工作，免费三餐,"北京 -
                    海淀区
                                            - 北三环西路43号中航广场1号楼（矮楼）
                                                            查看地图","
        职位诱惑：
        六险一金，高薪期权，弹性工作，免费三餐
    
        职位描述：
        
        职位职责：
1、负责今日头条沟通系统研发，包括但不限于即时通讯(IM)工具； 
2、负责效率工具的后台开发工作，具体包括需求分析、文档撰写、设计编码、测试运维、效果追踪等工作；
3、负责高质量的设计和编码；承担重点、难点的技术攻坚；
4、参与产品讨论和开发实现。
5、主要语言为Python/Golang。

职位要求：
1、良好的设计和编码品味，热爱写代码； 
2、较好的产品意识，愿意将产品效果做为工作最重要的驱动因素； 
3、掌握WEB后端开发技术: 协议、架构、存储、缓存、安全等； 
4、积极乐观，认真负责，乐于协作。
        
    
                工作地址
        
                                                北京 -
                    海淀区
                                            - 北三环西路43号中航广场1号楼（矮楼）
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        Hr
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                今日活跃
                            
                                                
    ",字节跳动,文娱丨内容,C轮,2000人以上,http://www.bytedance.com
2,12k-18k,python开发工程师,"
                    12k-18k 
                    /广州 /
                    经验1-3年 /
                    学历不限 /
                    全职
                ",晋升空间大,"广州 -
                    海珠区 -
                    
                                            - 广东省广州市海珠区新民四街靠近海韵轩
                                                            查看地图","
        职位诱惑：
        晋升空间大
    
        职位描述：
        
        岗位职责：

1、 根据产品需求独立开发，进行相关的设计、开发、调试、测试等；

2、 根据开发过程中的体验对产品提出建议，积极参与产品、功能与技术的改进；

3、 编写程序设计、API等相关技术文档。

岗位要求：

1、 计算机相关专业，至少1年以上Python开发经验；

2、 熟练Python编程语言，能使用Django、flask框架进行独立开发；

3、 熟练Scrapy、selenium等爬虫框架的使用；

4、 熟悉MySQL、REDIS数据库；

5、 熟练Linux系统的一些基本操作，使用shell编写脚本；

6、 熟悉Nginx的使用。

职能类别：Python开发工程师关键字：python爬虫
        
    
                工作地址
        
                                                广州 -
                    海珠区 -
                    
                                            - 广东省广州市海珠区新民四街靠近海韵轩
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        刘
            
                        
                
                                        刘臻奇
                                                                
                                        
                    
                    
                    
                    
                
                 新媒体总监 
                
                当前在线
                            
                                            
                
                                    
    ",广州宸百广告策划有限公司,"文娱丨内容,游戏",未融资,15-50人,https://www.lagou.com/gon...
3,20k-30k,Python,"
                    20k-30k 
                    /上海 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",金融科技 前沿技术 跨国团队 技术大牛,"上海 -
                    杨浦区
                                            - 国宾路18号万达广场A座
                                                            查看地图","
        职位诱惑：
        金融科技 前沿技术 跨国团队 技术大牛
    
        职位描述：
        
        光之树是安全计算行业领先的高科技企业。
面对日益增长的对于数据安全的需求，我们正致力于开发高效的安全计算平台。
在这里，你会参与实现基于Google Tensorflow 的安全计算平台的开发，分布式密钥协议的实现，以及分布式系统通信及部署的方案制定与开发。
团队包括清华、复旦、浙大、哈佛等名校毕业生，有谷歌、微软、亚马逊、阿里、腾讯等科技公司多年工作经验。
加入我们，让我们一起做有影响力的事情。

任职要求：
1、本科及以上学历
2、计算机系或相关专业
3、拥有2年+服务器端程序开发的经验（包括课程项目）
4、熟悉Python编程语言
5、理解网络协议基础及计算机通信原理
6、熟悉编译原理，密钥学，或者分布式系统是加分项
7、拥有基本的英语阅读能力
8、良好的沟通能力
        
    
                工作地址
        
                                                上海 -
                    杨浦区
                                            - 国宾路18号万达广场A座
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        landuo
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                当前在线
                            
                                                
    ",光之树科技,"金融,数据服务",A轮险峰旗云(A轮)，顶级VC和战略资源方投资，中诚信、策源创投、心元资本，得到大数据以及区块链两大社区的注目(天使轮),15-50人,https://www.guangzhishu.com/
4,10k-16k,python开发工程师,"
                    10k-16k 
                    /深圳 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",大型项目团队 年度旅游 年终奖 定期体检,"深圳 -
                    福田区
                                            - 深业上城
                                                            查看地图","
        职位诱惑：
        大型项目团队 年度旅游 年终奖 定期体检
    
        职位描述：
        
        1、本科以上学历，2年以上Python后台开发经验， 
2、熟悉Python，有良好的编码习惯； 
3、熟悉Python服务端编程，精通接口服务开发； 
4、熟悉Django/Tornado/Flask等开发框架； 熟悉Unix/Linux操作系统下的开发，部署，维护等工作；
        
    
                工作地址
        
                                                深圳 -
                    福田区
                                            - 深业上城
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        宋小姐
                                                                
                                        
                    
                    
                    
                    
                
                 招聘经理 
                
                当前在线
                            
                                                
    ",博悦科创,移动互联网,不需要融资,500-2000人,http://www.sz-bykc.com/
5,20k-30k,Python工程师,"
                    20k-30k 
                    /北京 /
                    经验3-5年 /
                    本科及以上 /
                    全职
                ",产品大牛；技术靠谱；项目有前景,"北京 -
                    海淀区
                                            - 北航致真大厦
                                                            查看地图","
        职位诱惑：
        产品大牛；技术靠谱；项目有前景
    
        职位描述：
        
        [工作职责]
1. 设计与开发高并发、高可用的服务端系统，支撑业务稳定、快速的发展；
2.  分析现有系统的潜在问题、性能、稳定性等，自我驱动并改进，满足不同阶段的用户增长需求。
3. 分析现有系统的算法、策略效果等，基于数据发现并提出更好的解决方案，提升用户体验。
[岗位要求]
1. 统招本科及以上学历，计算机相关专业；
2. 有扎实的计算机基础，熟悉常用数据结构、算法、设计模式；
3. 熟练掌握 Python/Go/Java/C++ 其中一种语言，良好的编码风格，强悍的编码能力，有代码洁癖者加分；
4. 熟悉 Linux 开发环境，熟悉 Mysql/Tidb, Redis, Mongodb, Kafka, ElasticSearch等常用开源组件；
        
    
                工作地址
        
                                                北京 -
                    海淀区
                                            - 北航致真大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        Gu
                                                                
                                        
                    
                    
                    
                    
                
                 HRBP 
                
                当前在线
                            
                                                
    ",音娱时光,移动互联网,A轮,50-150人,http://www.maetimes.com
6,10k-18k,python开发,"
                    10k-18k 
                    /深圳 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",五险一金 年度体检 年度旅游 带薪年假,"深圳 -
                    福田区 -
                    新洲
                                            - 购物公园
                                                            查看地图","
        职位诱惑：
        五险一金 年度体检 年度旅游 带薪年假
    
        职位描述：
        
        1、 熟悉django框架、django-rest-framework; 
2、 熟悉html、css、js，熟悉bootstrap,了解前端vue框架。 
3、 熟悉mysql数据库。


        
    
                工作地址
        
                                                深圳 -
                    福田区 -
                    新洲
                                            - 购物公园
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        哦啦啦
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                刚刚活跃
                            
                                                
    ",博悦科创,移动互联网,不需要融资,500-2000人,http://www.sz-bykc.com/
7,12k-18k·13薪,python工程师,"
                    12k-18k·13薪 
                    /上海 /
                    经验1-3年 /
                    本科及以上 /
                    全职
                ",高温补贴 通讯补贴 平台大,"上海 -
                    虹口区 -
                    北外滩
                                            - 华虹国际大厦
                                                            查看地图","
        职位诱惑：
        高温补贴 通讯补贴 平台大
    
        职位描述：
        
        工作职责：
1、 负责联邦学习、安全多方计算等相关产品中机器学习、深度学习算法的研究、实现和优化；
2、 针对机器学习、深度学习在实际业务场景落地中的问题，探索高效准确的mpc和非mpc模型解决方案，并持续跟进效果和业务价值；
3、 从具体市场需求出发，将联邦学习算法应用到产品中，以帮助解决互联网、银行、券商、零售、运营商、融合媒体等广泛领域中的机器学习问题，为客户创造业务价值；
4、 跟踪业界和学术界最新进展，并且能够快速应用到业务中。

岗位要求：
1、 良好的编程能力和规范，熟悉Python/Linux，了解Go；
2、 有两年以上的机器学习、深度学习项目开发经验，熟悉人工智能两种及以上算法原理，例如CNN、DNN、RNN、LR、DT、RF、XGboost、LightGBM、GBDT、KNN等，熟悉一个或多个机器学习工程库，例如：Sklearn、MLLIB；在以下至少一个领域有过实际经验：用户画像、时序预测、个性化推送、推荐系统、精准营销、信用打分；
3、 有海量数据的处理和分析经验，熟悉一个或多个大数据处理工具，例如Hadoop、Spark、Hive等；
4、 有金融征信、风控项目工作经验更佳；
5、 良好的理解能力和学习能力，主动性和责任心强。
        
    
                工作地址
        
                                                上海 -
                    虹口区 -
                    北外滩
                                            - 华虹国际大厦
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        许小姐
                                                                
                                        
                    
                    
                    
                    
                
                 职位发布者 
                
                刚刚活跃
                            
                                                
    ",设计院,"移动互联网,金融",上市公司,2000人以上,http://www.gpdi.com
8,7k-9k,python开发工程师,"
                    7k-9k 
                    /成都 /
                    经验不限 /
                    本科及以上 /
                    全职
                ",加班少 晋升空间大 团队氛围好 六险一金,"成都 -
                    高新区 -
                    创业路
                                            - 科园南路88号天府生命科技园A1栋801-805
                                                            查看地图","
        职位诱惑：
        加班少 晋升空间大 团队氛围好 六险一金
    
        职位描述：
        
        岗位要求：
1. 本科以上学历，一年以上python开发经验；
2. 熟练掌握python语言；
3. 熟悉http、tcp/ip协议、socket编程；
4. 熟练掌握RESTful框架；
5. 熟悉RabbitMQ、Kafka等消息队列；
6. 有深度学习(目标检测)、图像处理开发(OpenCV)经验者优先考虑。
岗位职责：
1. 参与公司视频分析产品框架搭建、编码实现；
2. 参与公司视频分析算法研发与优化。
        
    
                工作地址
        
                                                成都 -
                    高新区 -
                    创业路
                                            - 科园南路88号天府生命科技园A1栋801-805
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        陈
                                                                
                                        
                    
                    
                    
                    
                
                 HR 
                
                当前在线
                            
                                                
    ",成都鼎安华,"移动互联网,数据服务",未融资,50-150人,https://www.lagou.com/gon...
9,12k-24k,python开发,"
                    12k-24k 
                    /北京 /
                    经验不限 /
                    本科及以上 /
                    全职
                ",13薪+项目奖金+出国游+周末双休,"北京 -
                    朝阳区 -
                    来广营
                                            - 北京市朝阳区红军营南路36号暖山生活A座（北楼）3层
                                                            查看地图","
        职位诱惑：
        13薪+项目奖金+出国游+周末双休
    
        职位描述：
        
        位诱惑：
13薪，周末双休，项目奖金，福利好
职位描述：
岗位职责：
1、负责运营后台的网站前后端维护及功能实现
2、协助负责游戏服务端功能实现，性能优化等
3、保证服务端的稳定性、可扩展性、安全性和效率
4、相关的工具开发，相关文档的书写
任职要求：
1、本科以上学历（211/985院校优先）
2、熟悉python及相关的库，熟悉linux环境
3、熟悉django，html，css
3、熟悉多种数据库技术，包括MySQL，Redis，MongoDB等
4、具备服务器性能及代码性能优化能力，具备高并发流量下的请求处理经验
5、热爱游戏开发，高度的工作责任心，思维严谨，逻辑清晰，注重工作效率，具备技术难点攻关能力

#福利待遇好，公司坏境nice，周末双休！  996是不存在的  ，不断的零食水果and下午茶，奖金多多，各种技术大佬相互交流，公司产品荣登海外畅销榜和收入榜****00，发展前景广阔#
        
    
                工作地址
        
                                                北京 -
                    朝阳区 -
                    来广营
                                            - 北京市朝阳区红军营南路36号暖山生活A座（北楼）3层
                                                            查看地图
        
         © 2020 AutoNavi - GS(2018)1709号
                
        
        
        
        
            
                200 米 © 2020 AutoNavi - GS(2018)1709号
            
        
    
        职位发布者:
        
                        
                        
                
                                        秦艳平
                                                                
                                        
                    
                    
                    
                    
                
                 招聘专员 
                
                当前在线
                            
                                                
    ",博乐科技,移动互联网,不需要融资,150-500人,http://www.bolegames.cn/
